mes referencia,ano referencia,id_funcionario,nome,tipo_desligamento,data_demissao,cargo
maio,2024,505-70-1378,Kristofer Hallmark,Pedido de Demissão,2024-06-06,coordenador de midia
setembro,2024,810-87-1336,Dyane Toothill,Pedido de Demissão,2024-06-21,executivo de contas
dezembro,2024,129-30-3192,Jo ann Brotherick,Pedido de Demissão,2024-11-29,coordenador de midia
setembro,2024,755-51-1131,Gwenni Tague,Dispensa sem Justa Causa,2024-05-02,diretor de criacao
outubro,2024,677-56-4363,Myrle Hurrion,Dispensa sem Justa Causa,2024-09-06,executivo de contas
novembro,2024,816-69-5591,Elissa Belham,Dispensa sem Justa Causa,2024-04-17,diretor de criacao
agosto,2024,476-45-5583,Heidie Gherardesci,Pedido de Demissão,2024-09-11,gerente de planejamento
maio,2024,900-26-2562,Morgen Agates,Pedido de Demissão,2024-07-23,supervisor de planejamento
setembro,2024,690-40-1269,Trula Lay,Dispensa sem Justa Causa,2024-05-23,gerente de negocios
setembro,2024,471-98-2475,Zelig Kingsman,Dispensa sem Justa Causa,2024-12-01,coordenador de midia
dezembro,2024,111-63-8948,Dennison Burling,Dispensa sem Justa Causa,2024-01-26,coordenador de midia
fevereiro,2024,125-41-2898,Freda Gange,Pedido de Demissão,2024-04-23,gerente de planejamento
dezembro,2024,220-77-5667,Stormy Ehrat,Dispensa sem Justa Causa,2024-05-03,gerente de negocios
julho,2024,492-45-2009,Gayler Embra,Pedido de Demissão,2024-02-17,executivo de contas
novembro,2024,975-29-1025,Cynthy Stirtle,Pedido de Demissão,2024-11-18,coordenador de midia
setembro,2024,417-90-7721,Rasla Birchill,Dispensa sem Justa Causa,2024-02-26,coordenador de midia
outubro,2024,612-71-4441,Laureen Latty,Pedido de Demissão,2024-11-26,supervisor de planejamento
janeiro,2024,709-62-7312,Susan Rowdell,Pedido de Demissão,2024-07-24,diretor de criacao
dezembro,2024,437-51-5626,Gabriel de Vaen,Dispensa sem Justa Causa,2024-02-18,executivo de contas
novembro,2024,276-71-5831,Lorelle Meale,Pedido de Demissão,2024-08-15,gerente de planejamento
novembro,2024,262-16-7610,Marguerite Stonebridge,Pedido de Demissão,2024-09-12,gerente de negocios
abril,2024,266-53-8402,Gill Leve,Dispensa sem Justa Causa,2024-03-28,coordenador de midia
janeiro,2024,539-98-4853,Amie Reame,Pedido de Demissão,2024-09-22,coordenador de midia
novembro,2024,270-34-3226,Zedekiah Redmell,Dispensa sem Justa Causa,2024-02-26,gerente de planejamento
junho,2024,817-65-6396,Paxon Bruckner,Pedido de Demissão,2024-01-14,supervisor de planejamento
maio,2024,631-77-9064,Rory Gilsthorpe,Dispensa sem Justa Causa,2024-01-25,gerente de planejamento
agosto,2024,689-43-7096,Calv Hazleton,Dispensa sem Justa Causa,2024-03-24,supervisor de planejamento
abril,2024,113-65-5575,Torrance Hek,Pedido de Demissão,2024-07-18,diretor de criacao
outubro,2024,314-30-7935,Trix Cumesky,Dispensa sem Justa Causa,2024-09-26,executivo de contas
novembro,2024,564-32-3569,Nata Fidler,Pedido de Demissão,2024-11-21,supervisor de planejamento
julho,2024,650-95-4167,Brennen Lammiman,Pedido de Demissão,2024-02-11,gerente de planejamento
julho,2024,909-46-3646,Emerson Abry,Dispensa sem Justa Causa,2024-04-23,supervisor de planejamento
outubro,2024,685-59-4896,Therese Bengal,Dispensa sem Justa Causa,2024-06-30,gerente de planejamento
setembro,2024,108-82-5906,Burnaby Bearsmore,Dispensa sem Justa Causa,2024-08-19,executivo de contas
dezembro,2024,253-72-7326,Wendi Lauga,Pedido de Demissão,2024-03-02,gerente de planejamento
novembro,2024,923-46-2820,Cammy De Laspee,Pedido de Demissão,2024-10-03,diretor de criacao
fevereiro,2024,261-41-9637,Karna McGuff,Dispensa sem Justa Causa,2024-12-30,supervisor de planejamento
outubro,2024,793-87-4395,Leo Desantis,Dispensa sem Justa Causa,2024-10-16,gerente de negocios
julho,2024,156-31-9303,Brendis Castagnet,Pedido de Demissão,2024-08-09,gerente de negocios
dezembro,2024,246-57-3509,Pembroke Wrettum,Pedido de Demissão,2024-04-14,gerente de planejamento
julho,2024,101-13-2169,Marjy Deviney,Dispensa sem Justa Causa,2024-02-17,supervisor de planejamento
julho,2024,482-81-1533,Ansley Feuell,Dispensa sem Justa Causa,2024-12-18,gerente de negocios
junho,2024,826-91-5462,Luciana Duddridge,Dispensa sem Justa Causa,2024-08-03,gerente de planejamento
fevereiro,2024,227-94-1101,Ginnie Croizier,Pedido de Demissão,2024-06-24,gerente de negocios
julho,2024,539-68-4999,Florence Raraty,Dispensa sem Justa Causa,2024-09-25,supervisor de planejamento
fevereiro,2024,630-47-3838,Kipp Biaggiotti,Dispensa sem Justa Causa,2024-05-24,supervisor de planejamento
dezembro,2024,138-95-1391,Noe MacCleay,Dispensa sem Justa Causa,2024-11-23,diretor de criacao
novembro,2024,251-54-3345,Flore Siward,Pedido de Demissão,2024-04-20,gerente de planejamento
setembro,2024,575-22-9254,Torin Polding,Pedido de Demissão,2024-11-23,diretor de criacao
junho,2024,458-71-1561,Andra Malden,Dispensa sem Justa Causa,2024-08-12,diretor de criacao
abril,2024,767-55-1305,Nydia Imbrey,Dispensa sem Justa Causa,2024-09-11,gerente de negocios
janeiro,2024,777-45-7189,Ianthe Rohlfs,Dispensa sem Justa Causa,2024-09-09,supervisor de planejamento
junho,2024,753-97-9303,Howey Sadry,Pedido de Demissão,2024-06-09,executivo de contas
julho,2024,803-32-3955,Huntington Aysik,Dispensa sem Justa Causa,2024-02-17,executivo de contas
julho,2024,241-67-4483,Winny Fidelli,Pedido de Demissão,2024-11-26,executivo de contas
janeiro,2024,661-31-3876,Damiano Cosgrove,Dispensa sem Justa Causa,2024-06-28,gerente de negocios
junho,2024,557-60-8895,Claire Duggan,Pedido de Demissão,2024-05-08,supervisor de planejamento
junho,2024,279-60-1337,Wilmar Nicholson,Dispensa sem Justa Causa,2024-04-13,gerente de planejamento
fevereiro,2024,179-61-8201,Eddy Donizeau,Dispensa sem Justa Causa,2024-02-26,gerente de negocios
março,2024,752-68-4081,Vivian Claworth,Pedido de Demissão,2024-07-09,coordenador de midia
outubro,2024,259-89-5262,Alejandrina Von Oertzen,Pedido de Demissão,2024-12-20,gerente de negocios
julho,2024,508-99-6307,Keriann Westrope,Pedido de Demissão,2024-11-15,gerente de negocios
setembro,2024,740-57-4783,Thomasina Leask,Dispensa sem Justa Causa,2024-07-01,diretor de criacao
fevereiro,2024,732-74-1633,Weider Huitson,Dispensa sem Justa Causa,2024-02-20,diretor de criacao
novembro,2024,874-10-1716,Maje De Ruel,Dispensa sem Justa Causa,2024-08-30,executivo de contas
agosto,2024,392-78-6378,Ines Kenward,Pedido de Demissão,2024-01-15,supervisor de planejamento
agosto,2024,119-83-2000,Averil Elsmore,Dispensa sem Justa Causa,2024-07-30,gerente de negocios
maio,2024,423-60-3274,Addison Kielty,Dispensa sem Justa Causa,2024-04-21,executivo de contas
novembro,2024,555-12-5899,Ag Penwright,Dispensa sem Justa Causa,2024-03-07,supervisor de planejamento
janeiro,2024,481-86-9548,Deane LAbbet,Dispensa sem Justa Causa,2024-02-16,gerente de planejamento
fevereiro,2024,852-84-9779,Ayn Bartul,Dispensa sem Justa Causa,2024-10-27,gerente de planejamento
dezembro,2024,294-35-1474,Andriette Youngman,Dispensa sem Justa Causa,2024-11-02,supervisor de planejamento
dezembro,2024,254-33-1788,Yardley Diplock,Pedido de Demissão,2024-01-09,coordenador de midia
setembro,2024,678-82-3004,Gaylord Sexstone,Dispensa sem Justa Causa,2024-07-24,coordenador de midia
julho,2024,610-77-3843,Niven Birrane,Dispensa sem Justa Causa,2024-11-01,gerente de planejamento
novembro,2024,274-17-8232,Debbi Antonescu,Pedido de Demissão,2024-02-06,executivo de contas
março,2024,903-91-8468,Ilario Malacrida,Pedido de Demissão,2024-06-28,gerente de negocios
outubro,2024,896-93-5181,Philippa Kinzel,Pedido de Demissão,2024-01-10,gerente de planejamento
junho,2024,458-67-2459,Andeee Lockney,Dispensa sem Justa Causa,2024-10-23,supervisor de planejamento
janeiro,2024,126-68-6533,Belvia Jenkinson,Dispensa sem Justa Causa,2024-08-12,gerente de planejamento
março,2024,275-48-2161,Thom Lundie,Pedido de Demissão,2024-01-21,supervisor de planejamento
março,2024,640-31-9710,Jodi Tumulty,Pedido de Demissão,2024-01-03,diretor de criacao
fevereiro,2024,863-61-5353,Averil Goseling,Dispensa sem Justa Causa,2024-04-08,supervisor de planejamento
dezembro,2024,719-48-3309,Felice Perrigo,Dispensa sem Justa Causa,2024-08-29,executivo de contas
novembro,2024,637-42-6493,Pacorro Breed,Pedido de Demissão,2024-11-17,gerente de negocios
novembro,2024,829-33-8318,Rowland Yurikov,Pedido de Demissão,2024-12-25,coordenador de midia
outubro,2024,365-63-7443,Eben Farish,Pedido de Demissão,2024-06-13,diretor de criacao
fevereiro,2024,389-44-4979,Chanda Sworne,Pedido de Demissão,2024-02-20,diretor de criacao
fevereiro,2024,842-28-2496,Evita Mcettrick,Pedido de Demissão,2024-02-23,supervisor de planejamento
maio,2024,593-88-1319,Chrystal Oldmeadow,Pedido de Demissão,2024-06-09,coordenador de midia
dezembro,2024,883-74-2726,Victor Mustchin,Dispensa sem Justa Causa,2024-01-10,diretor de criacao
maio,2024,578-19-9206,Crawford Sheen,Pedido de Demissão,2024-08-27,executivo de contas
fevereiro,2024,457-98-2059,Lyell Harvison,Pedido de Demissão,2024-01-10,gerente de planejamento
outubro,2024,602-81-7338,Luci MacDonell,Dispensa sem Justa Causa,2024-03-08,diretor de criacao
junho,2024,449-73-5942,Nero Gaskall,Dispensa sem Justa Causa,2024-11-25,gerente de planejamento
dezembro,2024,371-43-1940,Andriana Curnucke,Dispensa sem Justa Causa,2024-03-29,coordenador de midia
outubro,2024,101-97-3787,Augie Hague,Pedido de Demissão,2024-11-27,gerente de negocios
setembro,2024,849-29-3593,Ange Ambrozewicz,Pedido de Demissão,2024-09-03,supervisor de planejamento
março,2024,700-53-1968,Quintana Hunnicot,Dispensa sem Justa Causa,2024-08-20,gerente de planejamento
junho,2024,317-12-2418,Zilvia Daleman,Dispensa sem Justa Causa,2024-07-30,diretor de criacao
dezembro,2024,320-69-8182,Cherey Assaf,Pedido de Demissão,2024-11-14,executivo de contas
julho,2024,566-42-1256,Kinna Vicker,Pedido de Demissão,2024-05-03,coordenador de midia
junho,2024,410-43-3265,Tera Grolmann,Pedido de Demissão,2024-02-07,gerente de planejamento
julho,2024,328-13-8071,Christiana Bernli,Pedido de Demissão,2024-03-06,executivo de contas
novembro,2024,724-92-3989,Sterling Attenbrow,Dispensa sem Justa Causa,2024-09-29,supervisor de planejamento
maio,2024,640-91-3224,Nefen Ratcliff,Pedido de Demissão,2024-06-27,gerente de planejamento
junho,2024,482-41-6082,Virgilio Longridge,Pedido de Demissão,2024-06-01,supervisor de planejamento
junho,2024,704-74-9615,Corella Sparry,Pedido de Demissão,2024-07-23,coordenador de midia
maio,2024,676-81-2896,Rodolph Leeburn,Pedido de Demissão,2024-06-12,gerente de negocios
janeiro,2024,320-47-6841,Jereme Matcham,Pedido de Demissão,2024-01-17,executivo de contas
abril,2024,954-62-7985,Barbara Bestwall,Dispensa sem Justa Causa,2024-11-22,gerente de planejamento
agosto,2024,102-38-6305,Leighton Maddick,Pedido de Demissão,2024-08-10,gerente de negocios
fevereiro,2024,675-52-7197,Venita Basile,Dispensa sem Justa Causa,2024-09-08,executivo de contas
agosto,2024,757-53-8352,Cathe Sterzaker,Dispensa sem Justa Causa,2024-02-25,executivo de contas
março,2024,589-57-6214,Mendie Bulger,Pedido de Demissão,2024-09-27,coordenador de midia
julho,2024,386-19-5440,Milissent Goodfellow,Dispensa sem Justa Causa,2024-07-18,diretor de criacao
dezembro,2024,353-68-7522,Moe Pittem,Dispensa sem Justa Causa,2024-12-08,diretor de criacao
outubro,2024,813-21-5159,Rhianna Symons,Dispensa sem Justa Causa,2024-09-14,coordenador de midia
dezembro,2024,162-59-8115,Dolf Surgey,Pedido de Demissão,2024-06-05,diretor de criacao
março,2024,667-76-6076,Mehetabel Petracci,Dispensa sem Justa Causa,2024-06-12,supervisor de planejamento
dezembro,2024,250-50-2036,Westbrooke Brobyn,Pedido de Demissão,2024-03-22,supervisor de planejamento
abril,2024,756-80-6952,Patrice Fothergill,Pedido de Demissão,2024-03-15,diretor de criacao
março,2024,932-64-7667,Rea Boulder,Pedido de Demissão,2024-06-26,executivo de contas
dezembro,2024,290-12-3481,Demetris Gladwell,Pedido de Demissão,2024-04-04,executivo de contas
dezembro,2024,581-49-5666,Herold Cronk,Dispensa sem Justa Causa,2024-01-30,executivo de contas
maio,2024,602-23-5636,Linnea Sandifer,Dispensa sem Justa Causa,2024-11-02,executivo de contas
fevereiro,2024,641-18-6608,Monte Gianetti,Pedido de Demissão,2024-11-04,coordenador de midia
novembro,2024,132-53-5709,Robers Gawthorp,Pedido de Demissão,2024-03-20,gerente de negocios
fevereiro,2024,962-95-6420,Udall Gorelli,Dispensa sem Justa Causa,2024-03-07,gerente de planejamento
outubro,2024,681-81-5049,Nannette Crimpe,Pedido de Demissão,2024-04-29,gerente de planejamento
julho,2024,188-23-9545,Hildagarde Bowld,Pedido de Demissão,2024-05-07,coordenador de midia
janeiro,2024,907-30-2919,Avrom Honisch,Dispensa sem Justa Causa,2024-09-21,executivo de contas
