mes referencia        ano referencia        nome        área        nome do gestor        data inicio        data termino        Quant. Dias
novembro        2023        Marti Leschelle        experience        Shufflebeat        9/3/2023        9/21/2023        21
maio        2023        Jill Figin        negócios        Innotype        11/3/2023        7/12/2023        7
maio        2023        Cale Gummow        cardinia facilities        Centizu        7/17/2023        5/20/2023        27
dezembro        2023        Anatola Annice        produção        Thoughtstorm        12/31/2023        11/21/2023        28
novembro        2024        Lorianne McFarlane        criação        Tekfly        7/25/2023        11/1/2023        16
dezembro        2024        Andras Avramovic        midia        Avavee        9/11/2023        11/27/2023        25
maio        2024        Rab Coucher        cardinia facilities        Dabvine        9/2/2023        9/5/2023        17
maio        2023        Phip Littlefield        experience        Mymm        6/27/2023        8/31/2023        29
dezembro        2024        Izzy Cufflin        midia        Jamia        10/3/2023        6/2/2023        10
novembro        2024        Celinka Sweatman        midia        Jabbercube        12/6/2023        8/7/2023        16
novembro        2024        Aveline Shilleto        cardinia facilities        Skiba        4/21/2023        12/19/2023        25
janeiro        2023        Mikey O'Moylane        midia        Demivee        5/15/2023        4/29/2023        13
janeiro        2023        Jocko Pym        produção        Zoomzone        10/10/2023        9/25/2023        14
dezembro        2023        Beaufort Verdon        produção        Muxo        7/27/2023        12/5/2023        30
novembro        2024        Agnella Gorick        produção        Meevee        4/21/2023        4/11/2023        18
dezembro        2024        Quinn Bortolozzi        facilities cardinia        Roombo        7/22/2023        12/3/2023        7
dezembro        2023        Porty Trood        facilities cardinia        Youtags        11/3/2023        1/7/2024        21
maio        2023        Antoinette Cisco        experience        Vimbo        1/22/2024        1/8/2024        10
janeiro        2024        Abraham Dullaghan        cardinia facilities        Mynte        9/6/2023        8/11/2023        25
janeiro        2023        Gilberte Rivett        cardinia facilities        Tagopia        12/24/2023        6/22/2023        15
janeiro        2023        Blake Buessen        experience        Wikizz        8/8/2023        11/9/2023        0
maio        2023        Raoul Siley        cultura e talentos        Kwideo        7/11/2023        9/18/2023        10
dezembro        2024        Ogdon Shorten        cultura e talentos        Rhycero        10/15/2023        4/8/2023        17
dezembro        2024        Stinky McRobbie        criação        Buzzdog        5/10/2023        8/21/2023        29
janeiro        2024        Porty Uttermare        criação        Babblestorm        8/26/2023        9/27/2023        10
dezembro        2023        Luci Aliberti        experience        Twitterwire        11/7/2023        7/16/2023        18
janeiro        2023        Rollin Bilbey        cardinia facilities        Tazz        11/2/2023        6/2/2023        2
maio        2023        Gelya Hindes        cardinia facilities        Photobean        12/26/2023        1/19/2024        25
dezembro        2023        Renault Stanmore        negócios        Eadel        11/20/2023        11/21/2023        5
maio        2024        Neal Muttock        planejamento        Thoughtworks        11/28/2023        8/15/2023        27
dezembro        2024        Mayor Mitchard        midia        Janyx        7/28/2023        10/11/2023        23
janeiro        2024        Bogart Harle        planejamento        Browsecat        6/19/2023        11/5/2023        0
dezembro        2023        Mickie Croney        criação        Devify        9/22/2023        1/6/2024        28
dezembro        2024        Shurlock Connochie        negócios        Linklinks        5/30/2023        12/19/2023        28
novembro        2024        Celestina Varney        cardinia facilities        Zoonoodle        8/2/2023        12/23/2023        14
maio        2023        Belicia Wayper        criação        Ozu        8/21/2023        7/20/2023        11
janeiro        2023        Priscella Decaze        midia        Skivee        4/20/2023        5/26/2023        8
dezembro        2024        Ronnie Isherwood        produção        Topiclounge        11/3/2023        11/13/2023        24
janeiro        2023        Uriah Rasper        criação        Yodoo        8/24/2023        12/11/2023        8
novembro        2024        Harri Syne        criação        Flipbug        12/29/2023        6/1/2023        22
dezembro        2023        Glenn Ackenhead        cardinia facilities        Pixope        1/29/2024        5/25/2023        11
dezembro        2023        Stormie Morby        criação        Fivespan        8/27/2023        11/21/2023        30
novembro        2024        Dasya Borrowman        facilities cardinia        Mydo        11/7/2023        1/26/2024        24
novembro        2023        Ive Dumphry        criação        Teklist        10/9/2023        4/21/2023        14
dezembro        2024        Chloris Buckell        criação        Fanoodle        4/19/2023        11/10/2023        6
dezembro        2023        Cary Varnam        facilities cardinia        Janyx        12/3/2023        8/23/2023        2
novembro        2023        Milena Brookes        facilities cardinia        Zoombeat        8/18/2023        11/20/2023        5
janeiro        2023        Emeline Bohlsen        negócios        Feedfire        7/30/2023        1/24/2024        7
maio        2023        Heinrick Pimley        experience        Quinu        9/6/2023        6/3/2023        24
janeiro        2024        Emmey Sign        negócios        Jabbersphere        9/25/2023        7/20/2023        2
dezembro        2023        Alphonso Agostini        facilities cardinia        Edgepulse        11/9/2023        10/6/2023        13
novembro        2024        Bonnee Birrane        midia        Zazio        1/8/2024        11/27/2023        9
janeiro        2024        Delmor Southcomb        cardinia facilities        Jetwire        1/15/2024        12/24/2023        8
maio        2024        Cristen Carlile        negócios        Omba        5/13/2023        4/21/2023        10
maio        2023        Pace Dalliwatr        planejamento        Devshare        12/18/2023        5/16/2023        14
maio        2024        Meara Tume        facilities cardinia        Thoughtblab        10/28/2023        8/13/2023        27
novembro        2024        Sybil Swanbourne        cultura e talentos        Zooxo        8/4/2023        9/3/2023        18
janeiro        2024        Burlie Crole        cultura e talentos        Gabspot        7/25/2023        12/13/2023        12
novembro        2024        Ailsun Stowers        planejamento        Ntags        1/25/2024        7/27/2023        12
janeiro        2023        Murray Beardsall        criação        Mudo        9/13/2023        12/15/2023        21
novembro        2023        Barbara Schnitter        planejamento        Brightdog        8/5/2023        11/4/2023        23
dezembro        2024        Bent Anney        facilities cardinia        Jabbersphere        9/13/2023        4/25/2023        3
maio        2023        Modestia Passmore        midia        Photospace        10/13/2023        9/4/2023        15
maio        2024        Mickey Heddon        planejamento        Midel        12/31/2023        12/13/2023        16
dezembro        2023        Cullen de Keyser        cultura e talentos        Flashdog        8/22/2023        10/23/2023        18
dezembro        2023        Town Barrett        criação        Viva        10/31/2023        6/6/2023        4
maio        2024        Engracia Simonato        facilities cardinia        Voomm        11/29/2023        10/28/2023        30
dezembro        2024        Pattie Wybrew        cultura e talentos        Tagtune        11/21/2023        8/20/2023        14
novembro        2023        Paola Fontenot        midia        Realmix        6/14/2023        6/6/2023        23
janeiro        2023        Jaymee Ruseworth        criação        Realcube        6/23/2023        10/27/2023        8
janeiro        2023        Biron Longhirst        cardinia facilities        Quatz        10/17/2023        12/6/2023        2
dezembro        2023        Harvey Westover        cardinia facilities        Latz        9/14/2023        5/2/2023        23
novembro        2024        Chere Scones        cultura e talentos        Topicware        5/20/2023        4/19/2023        25
janeiro        2024        Hazel Holtom        planejamento        Dynava        9/28/2023        12/3/2023        5
dezembro        2024        Celestine Caroll        midia        Dazzlesphere        5/2/2023        11/28/2023        19
dezembro        2023        Clovis Flory        midia        Fivechat        1/4/2024        11/8/2023        26
maio        2024        Geoffry Orvis        cardinia facilities        Flashdog        5/30/2023        6/30/2023        4
maio        2024        Early Warton        criação        Vinte        8/12/2023        10/31/2023        9
novembro        2023        Elvin Davidovici        facilities cardinia        Thoughtblab        8/6/2023        4/6/2023        14
novembro        2023        Wilhelmina Vallintine        produção        Muxo        9/3/2023        11/7/2023        27
novembro        2024        Wyatan Kohter        cultura e talentos        Skibox        11/24/2023        12/29/2023        8
janeiro        2024        Marin Hearons        midia        Eidel        5/3/2023        5/28/2023        5
novembro        2024        Suzann Dinsell        experience        Gevee        8/30/2023        11/30/2023        15
maio        2023        Ceciley Shelvey        criação        Livepath        12/25/2023        9/12/2023        12
maio        2023        Olin Gladtbach        midia        Dynabox        12/20/2023        10/25/2023        21
dezembro        2024        Dominique Forlong        planejamento        Avavee        12/26/2023        4/30/2023        2
dezembro        2024        Filberte Cheesley        experience        Zooveo        7/26/2023        8/5/2023        19
dezembro        2023        Woody Cornall        planejamento        Voonte        8/31/2023        4/5/2023        15
novembro        2024        Sloan Melchior        produção        Lazz        6/27/2023        1/28/2024        15
janeiro        2023        Christos Grob        planejamento        Edgetag        11/4/2023        1/12/2024        0
janeiro        2024        Olimpia Banbury        cultura e talentos        Voonix        10/6/2023        7/15/2023        13
dezembro        2024        Dion Boteman        negócios        Leexo        6/16/2023        8/31/2023        25
janeiro        2024        Catharine Ruppertz        criação        Plajo        4/30/2023        12/6/2023        23
novembro        2024        Carlina Schlagtmans        produção        Dynabox        9/12/2023        11/29/2023        25
dezembro        2023        Leslie Guilloud        facilities cardinia        Miboo        6/18/2023        10/1/2023        14
novembro        2024        Drugi Cricket        criação        Thoughtbridge        1/2/2024        6/18/2023        29
novembro        2023        Skip Sergant        produção        Camimbo        5/24/2023        10/2/2023        3
maio        2024        Ruperto Barroux        midia        Pixoboo        4/12/2023        8/8/2023        18
maio        2023        Clemente Faccini        criação        Linkbridge        12/30/2023        10/2/2023        18
janeiro        2024        Tootsie Stag        cultura e talentos        Browsetype        6/22/2023        7/7/2023        9
novembro        2024        Anallise Augustus        midia        Feedmix        5/17/2023        12/21/2023        19
dezembro        2024        Griz Huggin        produção        Yambee        6/7/2023        11/8/2023        8
novembro        2023        Zahara Blench        planejamento        Yadel        7/27/2023        11/7/2023        26
maio        2024        Hugh Bignell        criação        Youspan        11/11/2023        6/5/2023        9
janeiro        2023        Hollie Dyke        cardinia facilities        Devbug        11/24/2023        7/10/2023        29
novembro        2023        Toby Murtagh        criação        Pixoboo        5/22/2023        1/21/2024        2
janeiro        2023        Minni Peschet        produção        Demizz        10/9/2023        11/13/2023        21
janeiro        2024        Ralina Vennings        midia        Gigabox        10/3/2023        12/19/2023        5
novembro        2024        Vivienne Cherrison        facilities cardinia        Kimia        4/14/2023        12/17/2023        0
novembro        2023        Sarina Haddock        produção        Wordtune        5/16/2023        1/20/2024        16
dezembro        2024        Eldon Benwell        midia        Devcast        12/5/2023        10/30/2023        1
janeiro        2024        Rowney Christopherson        negócios        Gigabox        8/1/2023        4/28/2023        22
janeiro        2024        Kingsley Cambden        cardinia facilities        Camimbo        12/25/2023        9/5/2023        25
novembro        2023        Else Lambourne        facilities cardinia        Innojam        7/3/2023        5/25/2023        21
dezembro        2023        Berkeley Drewett        negócios        Realpoint        9/26/2023        10/8/2023        19
novembro        2024        Web Cuer        negócios        Thoughtstorm        10/31/2023        7/4/2023        13
dezembro        2023        Rivalee Spaughton        planejamento        Youtags        10/18/2023        10/2/2023        21
maio        2023        Amargo Tyers        planejamento        Agivu        12/14/2023        9/25/2023        21
maio        2023        Zilvia Abbot        experience        Jazzy        11/3/2023        8/7/2023        27
novembro        2023        Rodolfo Wilmut        cultura e talentos        Browsebug        8/31/2023        8/13/2023        27
dezembro        2023        Hanna Fores        midia        Oloo        5/15/2023        5/23/2023        0
janeiro        2023        Helen Taill        produção        Browseblab        8/1/2023        6/8/2023        20
dezembro        2024        Nev Cutchee        facilities cardinia        Divavu        11/22/2023        5/31/2023        19
dezembro        2024        Berry Huey        facilities cardinia        Yakitri        10/31/2023        7/3/2023        24
novembro        2023        Meryl Taylot        produção        Blogtags        5/17/2023        4/21/2023        13
novembro        2024        Conney Roxburgh        cardinia facilities        Quire        12/20/2023        6/30/2023        15
maio        2023        Helga Greensted        facilities cardinia        Yakitri        10/30/2023        12/24/2023        17
maio        2024        Manfred Epton        cardinia facilities        Tazzy        8/30/2023        5/2/2023        27
dezembro        2023        Dionis McSperrin        produção        Browsedrive        7/25/2023        5/25/2023        22
janeiro        2023        Arnuad Bains        cardinia facilities        Wikizz        5/15/2023        6/16/2023        26
janeiro        2023        Josepha Goulston        produção        Oyoyo        7/20/2023        6/3/2023        13
dezembro        2023        Morten Izhakov        experience        Ooba        7/28/2023        5/17/2023        16
novembro        2023        Stanwood Vannacci        cultura e talentos        Feedspan        4/23/2023        6/5/2023        11
maio        2023        Justin O' Donohoe        planejamento        Meembee        12/24/2023        5/4/2023        8
dezembro        2024        Guthrey Bearns        produção        Minyx        8/16/2023        7/7/2023        28
novembro        2024        April Wade        criação        Edgetag        4/27/2023        1/24/2024        22
maio        2024        Jabez Matijasevic        facilities cardinia        Kwinu        11/16/2023        4/10/2023        29
janeiro        2024        Godart Sommerland        planejamento        Skyvu        5/16/2023        9/27/2023        20
novembro        2024        Gerardo Torrent        negócios        LiveZ        4/8/2023        5/4/2023        26
dezembro        2024        Selby Bigglestone        cardinia facilities        Voonte        6/11/2023        1/23/2024        1
dezembro        2024        Nata Curror        planejamento        Edgepulse        6/28/2023        9/26/2023        21
novembro        2023        Lynette Shapcott        facilities cardinia        Meemm        10/24/2023        12/22/2023        14
janeiro        2024        Prudy Kinnen        cardinia facilities        Jabbersphere        12/19/2023        10/17/2023        30
janeiro        2023        Lion Crowche        cardinia facilities        Camimbo        12/2/2023        6/21/2023        5
maio        2023        Desdemona Joll        experience        Jetwire        8/9/2023        8/24/2023        24
dezembro        2023        Beverly Bleiman        cultura e talentos        Meembee        6/25/2023        6/24/2023        6
maio        2024        Lizzie Temby        experience        Fiveclub        9/23/2023        11/7/2023        3
novembro        2023        Cooper Kieran        cardinia facilities        Buzzbean        8/22/2023        5/11/2023        4
janeiro        2024        Matelda Franchioni        midia        Divavu        10/15/2023        11/23/2023        14
dezembro        2023        Den Adenot        experience        Agimba        12/16/2023        4/9/2023        1
novembro        2024        Margarita Cawthra        cardinia facilities        Twiyo        5/11/2023        1/10/2024        9
dezembro        2024        Bendix Norcott        negócios        Demivee        11/8/2023        8/13/2023        30
novembro        2024        Olly Cossey        cultura e talentos        Kazio        4/9/2023        5/12/2023        7
maio        2024        Seka Backshill        facilities cardinia        Vimbo        5/14/2023        4/11/2023        20
janeiro        2023        Faye Cudde        negócios        Vimbo        1/4/2024        7/4/2023        19
dezembro        2023        Dino Messent        negócios        Yakidoo        1/17/2024        1/13/2024        29
novembro        2023        Clark Frayn        planejamento        Lajo        7/7/2023        5/26/2023        7
maio        2024        Orella Jenkison        midia        Eamia        1/10/2024        1/31/2024        14
maio        2024        Court Lanfere        cardinia facilities        Youfeed        7/9/2023        11/12/2023        26
janeiro        2023        Sanford Btham        facilities cardinia        Jatri        1/16/2024        10/22/2023        14
novembro        2023        Pablo Hercules        planejamento        Livetube        5/19/2023        1/2/2024        25
dezembro        2024        Leland Morteo        produção        Linklinks        11/7/2023        8/27/2023        19
dezembro        2023        Tonye Malser        cultura e talentos        Dynazzy        12/9/2023        9/23/2023        2
dezembro        2023        Talyah Findlay        criação        Snaptags        6/21/2023        10/14/2023        16
dezembro        2024        Wileen Rodnight        experience        Kimia        1/29/2024        1/19/2024        4
janeiro        2024        Hakim Calveley        facilities cardinia        Jetpulse        4/16/2023        1/4/2024        26
janeiro        2023        Millard Brotherhood        cardinia facilities        Shuffledrive        10/29/2023        8/22/2023        12
janeiro        2023        Mindy Ismay        midia        Riffpath        12/25/2023        5/10/2023        10
maio        2023        Wrennie Ibert        planejamento        Feedmix        6/6/2023        10/16/2023        30
novembro        2023        Flossy Fawcus        cultura e talentos        Skaboo        7/23/2023        12/4/2023        22
maio        2023        Lothaire Bourdel        planejamento        Skyndu        11/30/2023        5/30/2023        5
maio        2023        Warren Peterffy        midia        Feedbug        12/5/2023        6/21/2023        29
janeiro        2024        Lurlene Snowden        cardinia facilities        Avaveo        10/20/2023        6/30/2023        14
janeiro        2024        Klemens Izkoveski        produção        Centidel        1/2/2024        7/10/2023        29
dezembro        2024        Belvia Filshin        midia        Meezzy        9/10/2023        5/28/2023        25
maio        2023        Maxine Eastgate        midia        Brainlounge        12/24/2023        1/8/2024        22
dezembro        2024        Connie Matuska        criação        Blogtags        6/28/2023        5/18/2023        30
dezembro        2024        Vittorio Kynge        cardinia facilities        Einti        8/17/2023        12/24/2023        0
dezembro        2024        Jim De Cruze        negócios        Meevee        8/22/2023        6/19/2023        26
novembro        2024        Birdie Billsberry        criação        Eamia        7/24/2023        5/24/2023        6
janeiro        2023        Abbye Unstead        midia        Edgewire        7/3/2023        6/5/2023        21
novembro        2024        Belinda Wyllcocks        planejamento        Kare        8/16/2023        8/25/2023        23
dezembro        2023        Flo Belin        planejamento        Livepath        12/15/2023        4/15/2023        24
dezembro        2023        Isaak Agron        cardinia facilities        Trudoo        12/22/2023        12/5/2023        16
maio        2024        Ahmed Calladine        planejamento        Voomm        4/7/2023        10/4/2023        0
janeiro        2023        Maynard Kringe        planejamento        Gigashots        11/4/2023        10/22/2023        20
janeiro        2024        Dorine Maplesden        cultura e talentos        Buzzdog        10/15/2023        7/29/2023        18
janeiro        2024        Kristi Tyght        experience        Tagpad        9/25/2023        12/4/2023        4
janeiro        2023        Evvie Dibble        facilities cardinia        Fadeo        5/2/2023        7/6/2023        27
janeiro        2024        Zachery Marzella        cultura e talentos        Tambee        12/7/2023        9/2/2023        16
janeiro        2024        Timofei Maudsley        negócios        Youtags        4/29/2023        8/20/2023        0
dezembro        2024        Jared Jedrachowicz        cultura e talentos        Dabtype        8/5/2023        1/27/2024        9
janeiro        2024        Lorrie Heavens        planejamento        Realcube        5/12/2023        10/8/2023        25
janeiro        2023        Anastasia MacColm        cardinia facilities        Rhyloo        12/19/2023        12/24/2023        6
maio        2024        Evangelin McKew        criação        Photobug        8/19/2023        1/19/2024        1
maio        2024        Waylon Jacqueminet        facilities cardinia        Demimbu        9/22/2023        12/12/2023        29
janeiro        2024        Quint Escolme        cardinia facilities        Tagopia        12/10/2023        7/31/2023        21
maio        2024        Thatch Dumphries        criação        Zoomlounge        10/17/2023        8/1/2023        11
novembro        2023        Kally Grigoletti        cardinia facilities        Blogspan        5/11/2023        7/25/2023        4
maio        2023        Ford Szepe        cardinia facilities        Mydo        8/3/2023        11/7/2023        22
novembro        2023        Sybil Bullivant        experience        Skyba        9/9/2023        1/12/2024        18
novembro        2023        Joycelin Murcott        negócios        Flashspan        6/27/2023        10/7/2023        16
novembro        2024        Conrado Pashenkov        cultura e talentos        Devcast        6/18/2023        7/18/2023        21
janeiro        2024        Cordy Kroger        produção        Minyx        12/15/2023        1/19/2024        15
novembro        2024        Windham Senter        cultura e talentos        Agimba        5/5/2023        4/7/2023        27
novembro        2023        Devan Girardet        cultura e talentos        Minyx        11/12/2023        7/3/2023        7
novembro        2024        Hillie Throughton        cardinia facilities        Ntag        6/9/2023        7/15/2023        16
maio        2023        Bert Drummond        cultura e talentos        Viva        10/17/2023        12/31/2023        4
novembro        2023        Glenna Reye        criação        Devpoint        1/3/2024        11/23/2023        1
novembro        2023        Oralla Ourtic        facilities cardinia        Topiclounge        9/8/2023        4/18/2023        11
novembro        2023        Carry Davidai        criação        Roodel        5/4/2023        7/16/2023        19
janeiro        2023        Merla Notti        produção        Twitterwire        8/15/2023        12/4/2023        21
maio        2023        Babs Spennock        criação        Brainbox        9/26/2023        8/1/2023        27
maio        2023        Brody Jeandon        negócios        Plajo        8/31/2023        9/23/2023        30
dezembro        2023        Rahel Paulo        midia        Bubbletube        4/8/2023        9/2/2023        21
janeiro        2024        Cinda Pierpoint        facilities cardinia        Vidoo        11/10/2023        11/28/2023        7
janeiro        2024        Massimo Benoey        planejamento        Skalith        9/23/2023        1/19/2024        18
maio        2023        Isaak Caillou        facilities cardinia        Babblestorm        7/6/2023        8/16/2023        2
janeiro        2023        Corine Burness        cardinia facilities        Abata        5/26/2023        1/8/2024        11
janeiro        2024        Miguelita Lines        experience        Skalith        12/30/2023        12/27/2023        3
dezembro        2024        Casandra Marquis        cardinia facilities        Teklist        10/9/2023        6/16/2023        14
maio        2024        Anabella Beldon        facilities cardinia        Shufflester        4/28/2023        4/28/2023        23
novembro        2023        Idaline Leftly        cultura e talentos        Jabbertype        12/7/2023        7/5/2023        17
janeiro        2023        Romonda Dilon        cardinia facilities        Omba        11/7/2023        5/10/2023        24
dezembro        2024        West Antonelli        planejamento        Devify        12/8/2023        8/22/2023        29
janeiro        2024        Darren Swyre        midia        Riffwire        5/25/2023        9/25/2023        25
maio        2023        Georgetta Loftie        produção        Rooxo        6/27/2023        9/1/2023        4
novembro        2023        Emmie Selcraig        facilities cardinia        Trupe        4/24/2023        12/10/2023        15
novembro        2024        Julius Houdhury        produção        Yodel        5/8/2023        1/18/2024        23
dezembro        2024        Jon Quiddihy        produção        Jabbersphere        10/19/2023        1/31/2024        4
dezembro        2024        Francene Slegg        cardinia facilities        Kaymbo        11/26/2023        1/16/2024        16
maio        2024        Christie Polack        cultura e talentos        Youspan        9/16/2023        12/11/2023        11
janeiro        2023        Kinnie Jansa        negócios        Youtags        10/19/2023        6/22/2023        11
novembro        2024        Spense Hubert        criação        Skidoo        9/1/2023        1/5/2024        16
novembro        2024        Mitch Trenchard        negócios        Roodel        6/26/2023        5/28/2023        7
janeiro        2023        Erny Deware        cultura e talentos        Meeveo        11/2/2023        5/6/2023        10
janeiro        2024        Sol Shah        planejamento        Mymm        12/5/2023        4/14/2023        20
janeiro        2024        Philomena Jervois        cardinia facilities        Zooveo        11/24/2023        10/8/2023        8
novembro        2023        Hamil Padbury        criação        Realbuzz        8/12/2023        7/8/2023        20
novembro        2024        Paolo Blaxlande        criação        Tagfeed        8/11/2023        12/31/2023        13
dezembro        2024        Richie Jobey        negócios        Browsezoom        9/15/2023        4/29/2023        9
dezembro        2023        Chrystel Yepiskov        facilities cardinia        Dynazzy        10/23/2023        4/24/2023        27
maio        2023        Chryste Wainman        facilities cardinia        Zoombox        1/6/2024        1/2/2024        16
janeiro        2023        Rivi Durnell        experience        Roodel        5/21/2023        5/9/2023        23
janeiro        2024        Eliot Facer        facilities cardinia        Rhyloo        1/4/2024        12/6/2023        29
maio        2023        Aristotle Badini        midia        Divape        12/26/2023        4/5/2023        30
dezembro        2024        Ranee Sharpling        facilities cardinia        Feedfish        7/27/2023        11/25/2023        8
dezembro        2023        Bendix Snel        produção        Brainbox        1/3/2024        9/7/2023        14
dezembro        2024        Stafani Trolley        planejamento        Vidoo        6/26/2023        4/9/2023        26
maio        2024        Ariela Marchbank        criação        Plajo        9/14/2023        5/9/2023        26
janeiro        2024        Daren Gon        planejamento        Flashpoint        10/28/2023        1/1/2024        21
janeiro        2024        Nora Ogilvie        facilities cardinia        Livepath        4/19/2023        12/13/2023        7
novembro        2024        Mattie Spencelayh        criação        Npath        6/6/2023        6/29/2023        7
novembro        2024        Cele Brandolini        produção        Jabbersphere        12/1/2023        8/23/2023        0
janeiro        2024        Hali Huet        midia        Omba        6/10/2023        9/2/2023        28
novembro        2024        Allyson Feldon        negócios        Vipe        12/6/2023        8/29/2023        28
janeiro        2024        Andrei Moysey        midia        Gabspot        1/2/2024        8/20/2023        10
maio        2023        Annamarie Cabedo        planejamento        Tagopia        8/2/2023        12/20/2023        19
maio        2024        Rosana Curdell        experience        Devpoint        5/4/2023        8/17/2023        22
dezembro        2024        Boonie Commuzzo        cultura e talentos        Roombo        7/2/2023        4/29/2023        11
dezembro        2023        Lorin Demanche        criação        Skivee        10/16/2023        9/5/2023        2
novembro        2024        Jud Kubala        cultura e talentos        Photobug        9/28/2023        7/30/2023        6
novembro        2023        Shamus Zoppo        facilities cardinia        Feedmix        12/21/2023        6/3/2023        6
dezembro        2023        Bernardina August        criação        Skibox        8/3/2023        4/15/2023        3
janeiro        2023        Rudiger Jeffress        midia        Ntag        10/16/2023        12/13/2023        25
dezembro        2024        Minnaminnie McGlaughn        facilities cardinia        Gabcube        12/21/2023        8/28/2023        0
maio        2023        Gerladina Osler        experience        Jabbersphere        9/10/2023        12/16/2023        9
maio        2023        Torr Courage        planejamento        Twitterwire        9/8/2023        8/29/2023        0
maio        2023        Nickie Leeder        planejamento        Agivu        10/29/2023        5/24/2023        5
novembro        2024        Justus Gout        cardinia facilities        Youfeed        9/4/2023        7/15/2023        30
janeiro        2023        Linda Guyton        produção        JumpXS        5/30/2023        6/30/2023        26
novembro        2024        Bjorn Julyan        negócios        Skyba        7/17/2023        10/31/2023        30
maio        2024        Hagen Brewin        cardinia facilities        Gabvine        1/13/2024        4/16/2023        15
novembro        2023        Valentin Andriuzzi        experience        Realbuzz        5/23/2023        12/22/2023        18
novembro        2024        Marika Dunsmuir        cultura e talentos        Mita        12/8/2023        10/4/2023        14
dezembro        2024        Alissa Dangerfield        criação        Agimba        1/25/2024        7/28/2023        16
maio        2024        Corinna Clissold        planejamento        Zoonder        1/4/2024        6/4/2023        21
dezembro        2023        Barnebas Shakespear        negócios        Mybuzz        11/5/2023        4/24/2023        10
maio        2023        Lonni Boeck        experience        Dabtype        1/3/2024        5/5/2023        17
dezembro        2024        Hanna Gristwood        cardinia facilities        Photospace        10/5/2023        1/28/2024        22
novembro        2024        Cammie Beardall        planejamento        Roombo        4/28/2023        9/15/2023        11
janeiro        2024        Shela Lowin        cultura e talentos        Dynava        5/5/2023        8/10/2023        19
novembro        2023        Pen Heyball        produção        Photobug        8/3/2023        7/10/2023        17
dezembro        2024        Eimile McArdle        negócios        Quimm        7/30/2023        6/21/2023        25
dezembro        2024        Aundrea Boldra        negócios        Skimia        8/21/2023        8/5/2023        18
maio        2023        Ailey Carwithen        facilities cardinia        Twinte        12/12/2023        12/1/2023        3
maio        2023        Jeddy Selliman        experience        Dynazzy        8/19/2023        11/20/2023        2
maio        2024        Lynelle Burditt        experience        Lazz        6/2/2023        12/18/2023        22
